Index,movie,title,body,sentiment,label,GB_right,NB_right,SVM_right,DT_right,LR_right
134,Casino Royale,Bond's all-time high let down by CGI,"Bond and computer graphics don't mix. Remember the invisible car in Die Another Day? Surely that was Bond's lowest point since Moonraker.So it was with immeasurable relief that Bond was given a new lease of life (again). Daniel's casting was inspired, Eva had spice, Mads looked bad, and the free-running and airport sequences had the usual Bond thrills. Even the gritty torture sequence had humour. This was turning out to be the best Bond since GoldenEye.And then came the CGI ending in Venice. Oh dear. At best, the collapsing building was unrealistic. At worst, it bored me. At least Bond's classic last line helped alleviate this crushing disappointment. So, am I still looking forward to Bond 22? Yes, considerably.",1.0,neutral,0,1,1,1,1
135,Kong: Skull Island,Two Stars,Not as good as I hoped. All in a poor reworking .,0.0,negative,0,1,1,1,1
136,Inferno,Three Stars,"Ok, but the different ending from the book totally changed the meaning of the story.",1.0,neutral,1,1,1,1,1
137,Blade Runner 2049,Four Stars,Stunning visually but not a patch on the original.,2.0,positive,0,0,0,0,0
138,Blade Runner 2049,100% Fan Service - and that's never good.,"Where's the grit, where's the grime. A sequel that didn't need making and as expected completely fails to offer anything new  to the ideas and themes of the original.Clunky dialogue, a character that offers nothing to the plot and is there purely to tell our lead character and audience what to think (hello Joi).Hans Bloody Zimmer!! Go away and take your farting french horns with you. Vangelis is still alive you know!!The absolutely leaden pace is a poor attempt to give this film some 'style' - where it only succeeds in arse clenchingly tedious.It's a film that is pure 'fan service' and everyone has been blinded by the over egged neon.",0.0,negative,1,1,1,0,1
139,Monsters of Man,Tissues ready,"Fabulous movie, action/sci fi with a big human emotional element.",2.0,positive,1,1,1,0,1
140,Blade Runner 2049,... and lack of characters make this film a big disappointment the dog outshines Harrison ford Add to that no ...,I was really looking forward to this film but as with so many films these days a thin uninteresting storyline plus bloated length and lack of characters make this film a big disappointment the dog outshines Harrison fordAdd to that no Vangelis soundtrack which was a crucial part of the original film special effects as good as ever which is the only reason I gave it two stars I actually thought the remake of total recall was more like the original bladerunner than this film.,0.0,negative,1,0,0,0,0
141,Blade Runner 2049,Disappointed,"Very disappointed by this sequel film, too long and faded in and out of the plot.  Was left very deflated after watching and a waste of money to buy.",0.0,negative,1,1,1,1,1
142,Skyfall,Top class Bond,Best of the Daniel Craig series,2.0,positive,0,0,0,1,0
143,The Hunger Games (4K UHD),Worth a view,"A film worth seeing but not great. Knowing that it is based on a trilogy (or 4) of books would have helped. I felt that it did not end well , left you up in the air.",1.0,neutral,1,1,1,1,1
144,Casino Royale,Good action movie... bad Bond movie,"Rather than sit here and indulge you in the gory details, i'll simply state a few points.I enjoyed the film - i thought it had an interesting and developed plot, and some of the action sequences were impressive. However, as good a film as it actually was, it simply wasn't James Bond. No gadgets, no real focus on the cars, and the villain wasn't particularly Bond movie-like. Craig's attempt at being the man himself, looked forced and unrealistic.Enjoy the film i'm sure you will do, but if you're expecting a follow-on from the superb recent Brosnan Bonds (Pierce second only to Connery in terms of how good the role is played) such as Goldeneye and Tomorrow Never Dies, brace yourself for underwhelment.Thanks.",1.0,neutral,1,1,1,1,1
145,Kong: Skull Island,Bland fare,Cartoonish baddie. No real sense of peril. Hiddleston underused.,0.0,negative,1,1,1,1,1
146,The Hunger Games (4K UHD),Enjoyable,I like this sort of film and this is one I just had to see. I enjoyed it but not having read the books I cannot compare the film to them. It is a 12 rating so the violence/blood/gore was cranked down a bit.,1.0,neutral,1,1,1,1,1
147,The Grey,... story for the most part and Liam Neeson was fantastic.. I would not watch this again though ...,A truly gripping story for the most part and Liam Neeson was fantastic ..  I would not watch this again though due to the fairly abrupt and inconclusive ending ...,1.0,neutral,1,1,1,1,1
148,Inferno,not quite as good as da Vinci code,"Entertaining thriller, not quite as good as da Vinci code.",1.0,neutral,1,1,1,1,1
149,Skyfall,Great film - Abysmal Delivery by Amazon,Plenty of other reviews out there for Skyfall which is a great film probably best of the modern Bonds. I'm writing to detail my very poor experience of Amazon in ordering this blu-ray. It was ordered over a month in advance and when the release date came I waited eagerly for the post. And waited.  And waited!!! I finally received the discussion on the following Friday a full  5 days later. What's particularly galling is that on the release date Skyfall was available for a comparable price at every supermarket nearly a week before Amazon sent mine. Which is pretty poor for a pre ordered discount. I've already canceled my pre order for The hobbit with Amazon!,0.0,negative,1,1,1,1,1
150,Blade Runner 2049,Good film,I was aware of this film but just watched on Netflix. Ok it will never be as the great as the original but it was good.Bought this for a birthday gift for someone who loved the original.,2.0,positive,0,1,1,1,1
151,Infinite,Like a low budget Marvel film,"Given the cast, the backing and with so many good films to base this on, how did this total rubbish get made? Poor action scenes, minimal cast members and poor SFX. It gives the impression of a low budget B movie.",0.0,negative,1,1,1,1,1
152,The Tomorrow War,Edge of Tomorrow Meets Interstellar Meets a Large Block of Cheese,"It's hard to point out the flaws without going into spoiler territory.  So the best I can sum it up is, if you like your stories to vaguely make sense, this film might annoy you.",0.0,negative,1,1,1,1,1
153,Escape Plan II,Enjoyable Flick,"OK, so its not as good as the original, but what do you expect for a quick cash in. Its not as bad as other reviews that I have read, if you like B movie fun and Stallone in the mix then its not too bad at all.",1.0,neutral,1,0,1,1,1
154,The Hunger Games (4K UHD),A*****,love it its a really great film ... makes me want to cry my eyes out at some points but a great film,2.0,positive,1,1,1,1,1
155,John Wick Chapter 2,Blood.. Cardboard..,Blood fest.. Choreography faultless.. Reeves still a bit cardboard.. Otherwise entertaining..,2.0,positive,0,1,0,0,0
156,Casino Royale,A Different Breed Of Bond!,"The first James Bond film I ever saw was at the ridiculous age of twenty something. It was a Pierce Brosnan one and I was blown away by the action, big budget stunts and suave and sexy portrayal of Bond.  Since then I've thoroughly enjoyed the films.  I was devestated however to learn that Brosnan was being replaced by Daniel Craig and waited with some trepidation for the release of Casino Royale.Gone are the big budget stunts instead we see a grittier, darker Bond, more reliant upon his physical attributes and strength than his gadgets and ways with the ladies.  The storyline is less built for a wide cinema audience and more for Bond experts who have read the books, followed the films closely.This step change in the films brought some mixed reviews - you either loved or hated it - I found it wasn't as bad as I'd expected - I still miss Brosnan like mad but Craig was never a replacement for his Bond it was about taking it back to basics and they have achieved that well.",1.0,neutral,1,1,1,1,1
157,Godzilla: King Of The Monsters,3D,Great to see 3D titles still have life in them.Way better than Godzilla but still a dark movie .,2.0,positive,1,1,1,1,1
158,Kong: Skull Island,Enjoyable,"Bit predictable, but enjoyable nevertheless.",2.0,positive,0,0,0,0,0
159,Olympus Has Fallen,... packed movie with a ruggedly handsome Gerard Butler - perfect: ),Fuel filled action packed movie with a ruggedly handsome Gerard Butler - perfect :),2.0,positive,1,1,1,1,1
160,Kong: Skull Island,The original still towers above the rest,An interesting idea to take kong away from his usual narrative trappings but it feels and looks the same because of a half hearted attempt to make the humans interesting.,1.0,neutral,1,1,1,1,1
161,Kong: Skull Island,Four Stars,Much better than we thought it would be,2.0,positive,0,0,0,0,0
162,London Has Fallen,Almost as bad as the first one,I was bored so I watched this. It made the boredom worse.,0.0,negative,1,1,1,0,1
163,Infinite,People need to learn to just enjoy things for what they are,"This movie is by no means the greatest thing on the planet, its writing is basic, dialogue is goofy, character arcs are practically non existent for the most part, but you know what it is? - fun. Its a movie that clearly, despite peoples opinions, doesn't take itself too seriously, and if you can just allow yourself to just sit back and watch it for what it is, its a good waste of 1 hour 45 minutes. I don't regret watching it, and the premise and ending providing the opportunity for a sequel is welcomed. Yes they could have done better, but in a time where most of the films we get are all copy and paste of the same crap we've seen 100 times before, or reboots of reboots of remakes, this is something a little different to sit down and watch. Don't go into it it thinking its going to change cinema and your perception of the world, go into it thinking of wanting to see some wild over the top nonsensical movie tropes, and you'll have a good time.",2.0,positive,0,0,0,0,0
164,Kong: Skull Island,One Star,"Just a ""shoot em up gun ho movie""",0.0,negative,1,1,1,1,1
165,12 Strong,A must watch for everyone - amazing story of true heroism and bravery,"Amazing film, really creates emotion to think it actually happened.  Kudos and huge respect to every person who works with/for/within the military and God bless you.An amazing film, extremely well acted by Chris Hemsworth who really brings out the character of the captain.  Would recommend this to anyone and everyone.",2.0,positive,1,1,1,1,1
166,The Hunger Games (4K UHD),Ok movie,"It's alright, but anyone who thinks it is a masterpiece is mistaken, the story is rather cliche but it is rather fun to watch. It is much better than the books, which were dire (Her prose is utterly bland and the story is horrible: I almost choked after the ""Everything is alright and I settled down with Pete and had kids. The End. Yay."")",1.0,neutral,1,1,1,1,1
167,The Tomorrow War,Heart Warming Sci-Fi,"I do not write much reviews for movies, and I have seen a lot of movies.''The Tomorrow War'' is great.  Something I would remember for a long time.Highly recommended",2.0,positive,1,0,0,0,1
168,Inferno,Three Stars,Worth a watch but not as good as the book and a different ending to the book !,1.0,neutral,1,0,0,1,0
169,The Hunger Games: Mockingjay Part 1,Disappointed in the quality,Disappointed in the quality. Film kept stopping constantly. Tried on 2 different DVD players. Not a pleasure to watch. Expect far better from Amazon.,0.0,negative,0,1,1,1,1
170,Kong: Skull Island,Mediocre Kong movie don't expect too much,"It wasn't a bad movie but the story is a little short, I was expecting him to come to New York and make a big mess but none of that happened and the two legged lizards were not good..",1.0,neutral,1,1,1,1,1
171,Blade Runner 2049,It's Ok,"Overlong, too slowly philosophical, dimly lit, depressing.",1.0,neutral,1,1,1,1,1
172,Boss Level,"Funny, action-packed and intriguing","Frank Grillo made this film. Its funny, exciting and thrilling. With some impressive stunts, fights, swordplay, humour and sarcasm. You really can't ask for much more in a movie like this one. Worth the watch even if the ending was a tad annoying (you'll see what i mean)",2.0,positive,1,1,1,1,1
173,The Hunger Games (4K UHD),Excellent - as good as the book,Its very rare that a DVD is anywhere near as good as the original book - but I have to say that this one is.  Its excellent and Peeta and Katniss look just as I imagined them in the book.,2.0,positive,0,1,1,0,1
174,The Hunger Games (4K UHD),Could be made easier to purchase.,Great movie although a little faffy to have to buy in store on Amazon before watching on a device through app. It could be made easier by having the ability to purchase through the app on the device you’re watching from.,1.0,neutral,1,1,1,1,1
175,Horizon Line,was ok,nothing great but ok..a bit annoying tho when they did unbelieable things on a plane..so only gets 2 stars,0.0,negative,0,0,0,0,0
176,Kong: Skull Island,One Star,Really not great at all and last Kong film was trillion times better,0.0,negative,1,0,1,1,0
177,The Hunger Games: Mockingjay Part 1,the film is great can't wait for the final episode,The DVD works.. the film is great can't wait for the final episode...,2.0,positive,1,1,1,1,1
178,Renegades,Highly Disappointed,"Was really disappointed with this movie, I was expecting with the great cast they had, that it would be full of non-stop action and a lot of fun. It started off well and fizzled out half way. What could have been a brilliant move was let down by the romantic ""lets help the local woman and save the day routine"". Three people watched this movie with me and were more critical than I. What a let-down!!",0.0,negative,1,1,1,1,0
179,Infinite,Waste of time - total nonsense cringeworthy movie,"This was so bad - it just went from bad to worse - watched it hoping it might turn around but nope.  Mark Wahlberg trying to be clever, deep and spiritual is a joke.  The corny scripted dialogue to the ridiculous action scenes to the massive plot holes.  This is a masterpiece in how to make a bad movie.",0.0,negative,1,1,1,1,1
180,Boss Level,Cracking film,"I really enjoyed this movie. I've read a few other reviews about alternative endings. I'm not sure if this is a regional thing or not?! But without giving away any spoilers, I liked the one I saw. I've read a few people who didn't but honestly I felt it gave closure to the film. I would highly recommend this movie. Its very entertaining and never boring. Even though the idea has been done before, this felt new and a refreshing take on it. I also really liked the main actor.",2.0,positive,1,0,0,0,0
181,Kong: Skull Island,One Star,"Very poor, bad acting, bad story line. Would not recommend it",0.0,negative,1,1,1,1,1
182,London Has Fallen,Excellent.  Action from start to finish...,"There have been over 1600 reviews of this film already, so i am not going to add too much to the group consensus.  Excellent, non-stop action from start to finish, if that is what you want...",2.0,positive,1,1,1,1,1
183,RED,"Seeing Red : Green, and then Black and Blue.","Wonderful Brucy Boy at his very best: all action, silly: and good memories in watching it.Just don't expect anything high-brow here, a good watch.RGDS - Terry.",2.0,positive,0,1,1,1,1
184,London Has Fallen,Poorly made,Very poor.Too much background talking and laughter. Heads kept appearing in front of the action and it was far too blurry.,0.0,negative,1,0,0,0,0
185,The Hunger Games: Mockingjay Part 1,Five Stars,just simply brilliant!!!  reading the books before helped.  cant wait for number 4 film  loved every minute!!!,2.0,positive,1,1,1,1,1
186,London Has Fallen,Action packed.,Action packed. But storywise is a bit over the top.,1.0,neutral,0,0,0,0,0
187,The Tomorrow War,Its ok,"A decent action film if you take your brain out. If you don't like action films there really isn't anything else in this film for you, or what it does offer will annoy you.Its easy to pick up on the non sensical elements of the film, and there are loads, and ruin a half decent action romp for yourself. But if you just ignore them, its ok.Its not a film you will get invested in, and worth a couple of hours of your time so why not.",1.0,neutral,1,1,1,0,0
188,Horizon Line,Rubbish,Absolute waste of time. Dreadful acting and a ridiculous story.,0.0,negative,1,1,1,1,1
189,The Tomorrow War,Excellent sci-fi!,Wasn’t expecting much but it’s a great movie. If you like the world besting aliens and lots of sci-fi twists then it’s definitely worth a watch,2.0,positive,1,1,1,1,1
190,Kong: Skull Island,Derivative and emotionless,Same old same old - lots of special effects and zero emotional involvement. Pants!,0.0,negative,1,1,1,1,1
191,The Tomorrow War,The aliens are awesome,"Brilliant film, really intense the whole way through",2.0,positive,1,1,1,1,1
192,Blade Runner 2049,"Slow, plodding approach that gets there in the end","It's just too long. No wonder given the time it takes for anyone to say anything or do something.Excellent graphics, as you would expect. Spoiled by the 'filmed in the sauna' effects that are so common now.(I know...it's the pollution)The plot was simple, and you may initially fall for the obvious trap about it. However, it's laid on so thick that the twist is no surprise.Very good acting throughout. But I wanted more from the sequel. More of a story. The actual story it told was so simple, that the film could have been an hour shorter.3.5 stars.Worth a watch. But not sure I'd want to see it again.",1.0,neutral,1,1,1,1,1
193,Blade Runner 2049,So Dull!,"Looks nice, sounds great, but it was incredibly dull and long. Very disappointing.",0.0,negative,1,1,1,1,1
194,Blade Runner 2049,The future happens p,I loved the original film ....why ... why ... fell asleep .... watched again still no better. Credit to the actors xxx,1.0,neutral,1,1,1,1,1
195,Kong: Skull Island,Passed a couple of hours!!,"It's not the best or the worst film I've ever seen, the cgi effects were quite good but the story and the acting was distinctly average.",1.0,neutral,1,0,1,1,1
196,Kong: Skull Island,Disappointing.,"It all looks great. Kong, the island, the Skull Crawlers - superb.  But ultimately it's all far too predictable.  Which rather begs the question - if you're going to spend tens of millions making it look so great, wouldn't another couple of million aimed at improving the plot have been a good investment too?",1.0,neutral,0,1,1,1,1
197,Blade Runner 2049,UHD review,Superior to the original in every way.UHD is excellent - sound is near perfection.,2.0,positive,0,0,0,1,0
198,Infinite,Not the greatest ever film,"Not likely to win any awards, but if you're getting it for a small amount (or free) then it's watchable and an acceptable way to while away some time.",1.0,neutral,1,1,1,1,1
199,The Tomorrow War,great film nice to watch something new,enjoyed this action scenes were good and cgi was of high standard. story was ok but saying that i watched it and enjoyed all the way through.,2.0,positive,0,0,0,0,0
200,The Tomorrow War,"Great film, cast, effects and storyline....love it!","Love this film! Fantastic cast, storyline and effects. Had me glued to my seat from the start. Makes you think about what else might happen as a result of climate change.....you just never know!",2.0,positive,1,1,1,1,1
201,Blade Runner 2049,"Averagely, mediocre","Quite boring, unfulfilling and mediocre but has some merit when watched with a glass of wine on a cold, grey, wintry, Monday night on furlough.",1.0,neutral,1,1,1,1,1
202,Inferno,Three Stars,not as good as the previous films,1.0,neutral,1,1,1,1,1
203,Blade Runner 2049,Odd,"We expected it to be odd, as was the first, and it didn't disappoint.",1.0,neutral,1,1,1,1,1
204,The Tomorrow War,Thoroughly Enjoyed,"One or two *potential* plot hole (in a sci-fi movie, remember) for the nitpicky but a very satisfying watch.",2.0,positive,0,0,0,0,0
205,Spectre,Three Stars,A bit disappointed with the film felt it missed something,1.0,neutral,1,1,1,0,1
206,Skyfall,sky fall DVD,"Skyfall [DVD

  ]What a pity that movies are mostly massively dumbed down nowadays. Everything seems to be aimed at impact for morons instead of decent characterisation",1.0,neutral,1,1,1,1,1
207,Blade Runner 2049,Disturbingly beautiful,I do not think I have ever experienced the question “Do we really want the future to turn out like this ?” asked in a more beautiful and thought-provoking way. Well done Mr Villeneuve and company. I am certain this film will have the same longevity as the first.,2.0,positive,0,0,0,0,0
208,Boss Level,Entertaining!!,"Loved the story, the plot and the direction - amazing fun. Good watch.",2.0,positive,1,1,1,1,1
209,Blade Runner 2049,Did the original Cult Movie justice,Will become as much a cult classic as the original ..... Did the original justice I think .... Blade Runner fans & Sci Fi fans will get it all .... For general movie fans ... Watch the original Blade Runner movie first and then enjoy ... A dark but thought provoking movie,2.0,positive,1,1,1,1,1
210,RED,a very good romp - Red 2,"Red, a very good romp - Red 2, dross!",1.0,neutral,1,1,1,1,1
211,London Has Fallen,"Boring, drawn out, predictable, silly",Just watch it if you want to turn off your brain for 90 minutes,0.0,negative,1,1,1,1,1
212,The Tomorrow War,The tomorrow you will regret watching this movie,"If only my future self had gone back in time to save me from watching this movie. Contains literally every movie trope/cliché you could manage to squeeze in - probably why the run time is at least 40 mins too long. Feels eerily similar to the movie Evolution - but takes itself completely seriously which makes the writing, characters, dialog and plot completely insufferable. PLEASE AVOID.",0.0,negative,1,1,1,1,1
213,The Tomorrow War,Definitely a 4.5*,"Good story, could be better though reduce screen time in the future section and increase time and more action in the last quarter. Could also increase length of movie and increase time and more action in the last quarter. Hope that makes sense, trying not to give plot away.",2.0,positive,0,0,0,1,0
214,The Hunger Games (4K UHD),I don't particularly like the story,mum brought it. I don't particularly like the story line,1.0,neutral,0,1,1,1,1
215,John Wick Chapter 2,Don’t ever mess with John Wick!,"Carrying on from his first outing John Wick entered the surreal and that I found disappointing, nevertheless the main character shone through and carried the film.A great sequel.",2.0,positive,1,0,0,1,0
216,The Tomorrow War,Two and half hours you'll never get back.,"I usually love Chris Pratt .... this was vomit-inducing woke virtue signalling garbage.The aliens are intelligent enough to build an interstellar spacecraft, but not intelligent enough to make a weapon or body armour?  They scuttle around like large cockroaches.... space travelling, interstellar cockroaches?!Then theres the dialogue... oh lord.  I fast forwarded through large chunks but it still wasn't fast enough...The film was free with Amazon and I still feel like I was robbed.",0.0,negative,1,1,1,1,1
217,The Hunger Games: Mockingjay Part 1,Amazing!!,Not much to say really apart from that its just simply amazing!! I can't wait for part 2 to come out.,2.0,positive,1,1,1,1,1
218,12 Strong,Enough with the CGI planes already,"A generic Special Forces war movie that kept making me think of Rambo III. And when will directors learn that CGI planes are worse than no planes at all. Every time I see one it just reminds me this isn't real. On the plus side, Chris Hemsworth makes a good show of it despite the plodding nature of the film but that's about the only plus I can come up with.I don't think this movie does justice to the real men of ODA 595. Shame.",1.0,neutral,1,1,1,1,1
219,Blade Runner 2049,One for the film aficionados.,Visually stunning but such a slow burner! One for the film aficionados.,1.0,neutral,1,1,1,1,1
220,Kong: Skull Island,Worth a watch,ignore how stupid helicopter pilots are at the start and its not a bad movie,1.0,neutral,0,0,0,0,0
221,The Tomorrow War,Good film,Much better than expected. Entertaining and exciting.,2.0,positive,0,1,0,0,0
222,Boss Level,For action lovers,"Groundhog day with gratuitous violence.Worth a watch, but don't get your hopes up.",1.0,neutral,0,0,0,0,0
223,xXx: Return Of Xander Cage,I loved the movie as I'm a big fan of Vin ...,I loved the movie as I'm a big fan of Vin Diesel. Overall was a ok movie. Not his best.,1.0,neutral,1,1,0,1,0
224,The Tomorrow War,"Fun, popcorn movie",Don't think about it too hard and this is enjoyable fun. It jogs along at a good pace but nothing or no one is looked at in any depth. Plenty of plot holes and stupid decisions by characters too.,1.0,neutral,1,1,1,1,1
225,Blade Runner 2049,Painfull,"It was all very dark, I couldn’t tell what the characters were saying most of the time. Film kept stopping for buffering, gave up on it halfway through. This was the first film l have paid for on Amazon, it may be a long time before I pay for another!.",0.0,negative,1,1,1,1,1
226,Skyfall,Fantastic film,Came on time - we hadn't had chance to see it at the cinema - absolutely excellent film - best Bond film ever,2.0,positive,1,1,1,1,1
227,The Tomorrow War,Wow just WOW!,"What a film, it started off a little bit confusing however quickly became obvious what is happening and what they have to do. for the whole 2 hours and 18 minutes I had my eyes attached to the screen.Highly recommend watching this.",2.0,positive,0,0,0,0,0
228,John Wick Chapter 2,not the best follow up,the first film was better sharper and funnier wife fell asleep watching this-it was a bit slow and lame in places,0.0,negative,0,0,1,0,0
229,The Hunger Games (4K UHD),Amazing!!,What was my life like before I saw the hunger games?!! It really was amazing :-) Definitely would recommend to all.,2.0,positive,1,1,1,1,1
230,xXx: Return Of Xander Cage,Xxx,Not as good as the older movie and cheesy at end but still a goos watch,1.0,neutral,1,1,1,1,1
231,Kong: Skull Island,Three Stars,Not as good as i expected it to be,1.0,neutral,1,1,1,1,1
232,The Tomorrow War,"Not great, if not Chris Pratt I would stop watching it after 30min","Not great story, cheap CGI baad writing",0.0,negative,0,1,1,0,1
233,RED,Very funny,This film is really funny. Having older actors playing older spy's is hilarious. I can't wait to see Red 2,2.0,positive,0,1,1,0,1
234,The Tomorrow War,An American hero film,"Just a few Americans who can do everything from being teachers, scientist to soldiers, then saves the world.Or they didn't have enough money to pay for actors.",0.0,negative,0,1,0,1,1
235,The Tomorrow War,OMG! From start to finish...,"....Total, utter, garbage! Ok, I love Sci-fi, right! But this is either or! Its a total mish mash of borrowed and stolen ideas from other great films. This wouldn't scare your granny, or a ten year old child, let alone a young/middle aged adult. This film is so poor, its boarder line criminal. What a waste of time, money and, I was going to say, effort. But what effort? 2 hours, 18 minutes and 6 seconds of my effort and life wasted thats what effort!  Oh, by the way ama! I won't be renewing my prime subscription when its due. For more ways than just this insult to my being....Dont succumb to the hype people! Dont let ama get away with it! Sheesh!!! What garbage next?...",0.0,negative,1,1,1,1,1
236,Cell,no head no tail...A bad version of zombie style movies,"where to start, I finished the movie because I had nothing else much to do at the time being and by curiosity but gosh it was bad...No reason, just speculations suspense very below average, no goal except finding the family...Well hard to critic an empty story. No better than a movie made by high school teenagers. don't watch you can use the 1h30 to do something better !",0.0,negative,1,1,1,1,1
237,Inferno,Three Stars,"Incoherent tripe, mildly entertaining nevertheless.",1.0,neutral,1,0,1,1,1
238,12 Strong,Nothing really new to see or learn,Battle scenes are realistic apart from the fact that all the Americans are good shots but the Taliban seem to miss every time. The usual good looking heroic US Captain and his  regular band  of daring soldiers.And just in case we don't understand how evil the Taliban are it is felt necessary to show them killing a mother in front of her husband and children because the mother had taught them how to read books.OK if you just want to see some battle scenes.,1.0,neutral,1,1,1,1,1
239,Inferno,Mishmash,"A completely incoherent and preposterous succession of events. Gone has the fun and intrigue of the previous instalments. Basically, Ron Howard signed the end of the series. Tom Hanks' amnesia will help him erase that one, hopefully...",0.0,negative,1,0,0,0,0
240,Infinite,This one was a stinker,Such a wasted opportunity.  Absolute garbage.,0.0,negative,1,1,1,1,1
241,Kong: Skull Island,A better than usual summer blockbuster.,"Better than most summer blockbusters these days.  A little predictable but some cracking action sequences, great effects and strong acting from a great cast.  There are a few plot holes and done silly continuity errors (constantly changing numbers of helicopters for example) plus a bit of historical inaccuracy, but those are forgivable when the pachage as a whole is such fun.",1.0,neutral,1,1,1,1,1
242,The Tomorrow War,PopCorn munching Mind enriching entertainment,A good old fashioned Goodies v Baddies and no Woke issues to get worked up about Bish Bash Bosh blow these Heathen Alien Butt faces straight to hell and eat your Pop Corn and enjoy a Movie that gets your blood pumping and the Household cheering our boys and Girls as they battle to save the World Well Done Amazon more of the same please . I watch movies for no other reason than entertainment and this delivered just like Amazon,2.0,positive,1,0,1,0,1
243,John Wick Chapter 2,"Help, I need a score card !",if you like to see your villains despatched by the dozen you might like this.  I wish there was a website that would tell me exactly how many bad guys he kills in this film.,0.0,negative,1,1,1,1,1
244,Spectre,Disappointed,Love Bond but this film was way below the standard expected.,1.0,neutral,1,1,0,1,0
245,Skyfall,"Great film, but the DVD is NOT produced for UK TV Standard","Love the film, the bluray picture/sound quality is great. It's the DVD that disappoints in this set, it is encoded for the US TV System (NTSC), and I have no idea why! Obviously I bought the set because I have a bluray player, however, the DVD may give some people issues. Some older DVD's would likely be unable to play the disc, and even if your DVD player can handle it, the picture quality is going to be reduced in comparison to a properly encoded DVD for Region 2 (ie: PAL).Additionally, the Amazon listing shows the set as being Region Free. This may well turn out to be the case, but for anyone unsure, it's worth noting that both the packaging and discs themselves show Region B for the bluray, and Region 2 for the DVD. I have no way of telling whether they are in fact region free discs despite the labelling, but it's something to potentially consider.Just to confirm also, there ARE English subtitles on both discs.",2.0,positive,0,0,0,0,0
246,The Tomorrow War,sound levels are totally unbalanced between dialogue and action,"not bad, fairly enjoyable apart for the sound balance between dialogue and action -I had to constantly turn the sound up and down!",1.0,neutral,1,1,1,0,1
247,Blade Runner 2049,i know what's real,not the classic we hoped for but unmissable for sci fi fans,2.0,positive,1,1,1,0,1
248,Infinite,Matrix / Wanted ripoff,"Matrix / Wanted ripoff - Gave it 1 star for filming in my home city,And thanks for closing the public roads whiles filming (sarcasm).It's not like people living in a major UK city need access to major public roads or other public areas.",0.0,negative,0,1,0,0,0
249,The Hunger Games (4K UHD),Ok but not as good as the books,Not as good as the books but it's usually the case. I was slightly disappointed as it just didn't live up to my expectations. Ok though.,1.0,neutral,1,1,0,1,1
250,Kong: Skull Island,This is a great movie about a big monkey that lives in Jurassic ...,This is a great movie about a big monkey that lives in Jurassic park and then Loki comes along with the Vietnam war and drops some bombs and then they have a big chase with computer graphics and then the monkey throws it's own faeces at the screen and Sam Jackson performs the acting equivalent of throwing his own faeces at the screen and then that girl that was shut in that room turns up to pay for her new house and then it all ends and you think that even though you thought the big chimp had met ultimate indignity with the bloated peter Jackson abomination this was much much worse and that suddenly the Jeff bridges 70's reimaginng was actually quite good and that the original willis o'brien animated version was cinema nirvana and that cgi and overpaid stars do not make a good movie and has episode 1-3 of star wars taught us nothing - a big pile of simian disappointment but I'm giving it 5 stars because I liked the trailer,2.0,positive,0,0,0,0,0
251,The Grey,"""..GRITTY AND REAL..""","Yet again this is another superb performance from Liam Neeson, the grey is a gritty and realistic chiller with a story which is simple yet nail bitingly brilliant, great performances all round, this is the ultimate survival movie and really puts you into the moment with them wondering what you might do to survive, its cold and there are some vicious wolves that really mean business, who will survive, make sure you see this fantastic movie its certainly a one off, make sure you stay until the end of the credits for one final scene!!!",2.0,positive,1,1,1,1,1
252,John Wick Chapter 2,A Keanu Reeves shoot and run film,"A classic shoot and run film, allows for an entertaining few hours if its you kind of entertainment.",1.0,neutral,1,1,1,1,1
253,Blade Runner 2049,blade Runner,Good film but not as atmospheric as the original,2.0,positive,1,0,1,1,1
254,Skyfall,best ever Bond 5 Stars,"I have been a Bond fan since Dr No,but the last 3 Daniel Craig"" Bonds"" have started to rekindle and open up a new generation of fans.Skyfall is a first class Bond without the gadgets. I don't know how you better this but i for one cannot wait for the next.",2.0,positive,0,0,0,0,0
255,Skyfall,skyfall,Delivered on time and got much more than I expected with this special edition Blu-ray DVD fantastic for the money great film probably one of the best would recommend this to all Amazon customers and any that are not,2.0,positive,1,1,1,1,1
256,The Tracker,Half the dialogue is Italian with no subtitles.,"I could no understand what the characters were saying for much of the film, as far as I watched it. Not recommended unless you can understand Italian.",0.0,negative,1,1,1,0,1
257,Olympus Has Fallen,Five Stars,Great buy with both together. Watched often.,2.0,positive,1,1,1,1,1
258,The Grey,repetative is an understatement,Cut out 70 minutes and you have the exact same movie. Just bearable.,0.0,negative,1,1,1,1,1
259,John Wick Chapter 2,Hail kenu,Kenu is the bestThe action is awesomeThe story is fun,2.0,positive,0,1,0,0,0
260,Cell,"Not the best King adaptation, but an adequate account of one of his lesser novels","Taken from one of Stephen King`s more formulaic novels, Cell is actually half-decent and lends support to the observation that reasonable films are often adapted from poor rather than good novels.  In fact this film improves on the rather sentimental ending of the book, and is true to the bleak tone of some of King`s better writing.",1.0,neutral,1,1,1,1,1
261,xXx: Return Of Xander Cage,Poor film,"A poor film, worse of the 3. Just want to forget this film.",0.0,negative,1,1,1,1,1
